# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1701713943.59922099,-133.30155591,-103.92995973,-0.00004469,-0.00311391,-2.48111236,0.00000000,-0.00018030,-0.00001153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000,5500.00000000
1701713943.63922095,-133.30143106,-103.92960756,-0.00004454,-0.00319907,-2.48112039,0.00000000,-0.00018031,-0.00001158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.67922091,-133.30144928,-103.92943148,-0.00003686,-0.00322801,-2.48112784,0.00000000,-0.00018029,-0.00000832,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.71922088,-133.30139026,-103.92915492,-0.00003504,-0.00328831,-2.48113563,0.00000000,-0.00018028,-0.00000752,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.75922084,-133.30125158,-103.92880520,-0.00003892,-0.00335651,-2.48114373,0.00000000,-0.00018029,-0.00000898,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.79922080,-133.30110119,-103.92845824,-0.00004331,-0.00341345,-2.48115189,0.00000000,-0.00018031,-0.00001073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.83922076,-133.30093914,-103.92811232,-0.00004784,-0.00346076,-2.48116009,0.00000000,-0.00018034,-0.00001249,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000,5500.00000000
1701713943.87922072,-133.30094677,-103.92793114,-0.00003980,-0.00347891,-2.48116762,0.00000000,-0.00018035,-0.00000897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.91922069,-133.30085487,-103.92765566,-0.00003835,-0.00351026,-2.48117556,0.00000000,-0.00018039,-0.00000819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
1701713943.95922065,-133.30068861,-103.92730933,-0.00004224,-0.00355159,-2.48118383,0.00000000,-0.00018046,-0.00000956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,5500.00000000
